range,codepoint,char,unicode_name,image_file
Miscellaneous Symbols (common music signs),U+2669,♩,QUARTER NOTE,images/U+2669_QUARTER_NOTE.png
Miscellaneous Symbols (common music signs),U+266A,♪,EIGHTH NOTE,images/U+266A_EIGHTH_NOTE.png
Miscellaneous Symbols (common music signs),U+266B,♫,BEAMED EIGHTH NOTES,images/U+266B_BEAMED_EIGHTH_NOTES.png
Miscellaneous Symbols (common music signs),U+266C,♬,BEAMED SIXTEENTH NOTES,images/U+266C_BEAMED_SIXTEENTH_NOTES.png
Miscellaneous Symbols (common music signs),U+266D,♭,MUSIC FLAT SIGN,images/U+266D_MUSIC_FLAT_SIGN.png
Miscellaneous Symbols (common music signs),U+266E,♮,MUSIC NATURAL SIGN,images/U+266E_MUSIC_NATURAL_SIGN.png
Miscellaneous Symbols (common music signs),U+266F,♯,MUSIC SHARP SIGN,images/U+266F_MUSIC_SHARP_SIGN.png
Byzantine Musical Symbols,U+1D000,𝀀,BYZANTINE MUSICAL SYMBOL PSILI,images/U+1D000_BYZANTINE_MUSICAL_SYMBOL_PSILI.png
Byzantine Musical Symbols,U+1D001,𝀁,BYZANTINE MUSICAL SYMBOL DASEIA,images/U+1D001_BYZANTINE_MUSICAL_SYMBOL_DASEIA.png
Byzantine Musical Symbols,U+1D002,𝀂,BYZANTINE MUSICAL SYMBOL PERISPOMENI,images/U+1D002_BYZANTINE_MUSICAL_SYMBOL_PERISPOMENI.png
Byzantine Musical Symbols,U+1D003,𝀃,BYZANTINE MUSICAL SYMBOL OXEIA EKFONITIKON,images/U+1D003_BYZANTINE_MUSICAL_SYMBOL_OXEIA_EKFONITIKON.png
Byzantine Musical Symbols,U+1D004,𝀄,BYZANTINE MUSICAL SYMBOL OXEIA DIPLI,images/U+1D004_BYZANTINE_MUSICAL_SYMBOL_OXEIA_DIPLI.png
Byzantine Musical Symbols,U+1D005,𝀅,BYZANTINE MUSICAL SYMBOL VAREIA EKFONITIKON,images/U+1D005_BYZANTINE_MUSICAL_SYMBOL_VAREIA_EKFONITIKON.png
Byzantine Musical Symbols,U+1D006,𝀆,BYZANTINE MUSICAL SYMBOL VAREIA DIPLI,images/U+1D006_BYZANTINE_MUSICAL_SYMBOL_VAREIA_DIPLI.png
Byzantine Musical Symbols,U+1D007,𝀇,BYZANTINE MUSICAL SYMBOL KATHISTI,images/U+1D007_BYZANTINE_MUSICAL_SYMBOL_KATHISTI.png
Byzantine Musical Symbols,U+1D008,𝀈,BYZANTINE MUSICAL SYMBOL SYRMATIKI,images/U+1D008_BYZANTINE_MUSICAL_SYMBOL_SYRMATIKI.png
Byzantine Musical Symbols,U+1D009,𝀉,BYZANTINE MUSICAL SYMBOL PARAKLITIKI,images/U+1D009_BYZANTINE_MUSICAL_SYMBOL_PARAKLITIKI.png
Byzantine Musical Symbols,U+1D00A,𝀊,BYZANTINE MUSICAL SYMBOL YPOKRISIS,images/U+1D00A_BYZANTINE_MUSICAL_SYMBOL_YPOKRISIS.png
Byzantine Musical Symbols,U+1D00B,𝀋,BYZANTINE MUSICAL SYMBOL YPOKRISIS DIPLI,images/U+1D00B_BYZANTINE_MUSICAL_SYMBOL_YPOKRISIS_DIPLI.png
Byzantine Musical Symbols,U+1D00C,𝀌,BYZANTINE MUSICAL SYMBOL KREMASTI,images/U+1D00C_BYZANTINE_MUSICAL_SYMBOL_KREMASTI.png
Byzantine Musical Symbols,U+1D00D,𝀍,BYZANTINE MUSICAL SYMBOL APESO EKFONITIKON,images/U+1D00D_BYZANTINE_MUSICAL_SYMBOL_APESO_EKFONITIKON.png
Byzantine Musical Symbols,U+1D00E,𝀎,BYZANTINE MUSICAL SYMBOL EXO EKFONITIKON,images/U+1D00E_BYZANTINE_MUSICAL_SYMBOL_EXO_EKFONITIKON.png
Byzantine Musical Symbols,U+1D00F,𝀏,BYZANTINE MUSICAL SYMBOL TELEIA,images/U+1D00F_BYZANTINE_MUSICAL_SYMBOL_TELEIA.png
Byzantine Musical Symbols,U+1D010,𝀐,BYZANTINE MUSICAL SYMBOL KENTIMATA,images/U+1D010_BYZANTINE_MUSICAL_SYMBOL_KENTIMATA.png
Byzantine Musical Symbols,U+1D011,𝀑,BYZANTINE MUSICAL SYMBOL APOSTROFOS,images/U+1D011_BYZANTINE_MUSICAL_SYMBOL_APOSTROFOS.png
Byzantine Musical Symbols,U+1D012,𝀒,BYZANTINE MUSICAL SYMBOL APOSTROFOS DIPLI,images/U+1D012_BYZANTINE_MUSICAL_SYMBOL_APOSTROFOS_DIPLI.png
Byzantine Musical Symbols,U+1D013,𝀓,BYZANTINE MUSICAL SYMBOL SYNEVMA,images/U+1D013_BYZANTINE_MUSICAL_SYMBOL_SYNEVMA.png
Byzantine Musical Symbols,U+1D014,𝀔,BYZANTINE MUSICAL SYMBOL THITA,images/U+1D014_BYZANTINE_MUSICAL_SYMBOL_THITA.png
Byzantine Musical Symbols,U+1D015,𝀕,BYZANTINE MUSICAL SYMBOL OLIGON ARCHAION,images/U+1D015_BYZANTINE_MUSICAL_SYMBOL_OLIGON_ARCHAION.png
Byzantine Musical Symbols,U+1D016,𝀖,BYZANTINE MUSICAL SYMBOL GORGON ARCHAION,images/U+1D016_BYZANTINE_MUSICAL_SYMBOL_GORGON_ARCHAION.png
Byzantine Musical Symbols,U+1D017,𝀗,BYZANTINE MUSICAL SYMBOL PSILON,images/U+1D017_BYZANTINE_MUSICAL_SYMBOL_PSILON.png
Byzantine Musical Symbols,U+1D018,𝀘,BYZANTINE MUSICAL SYMBOL CHAMILON,images/U+1D018_BYZANTINE_MUSICAL_SYMBOL_CHAMILON.png
Byzantine Musical Symbols,U+1D019,𝀙,BYZANTINE MUSICAL SYMBOL VATHY,images/U+1D019_BYZANTINE_MUSICAL_SYMBOL_VATHY.png
Byzantine Musical Symbols,U+1D01A,𝀚,BYZANTINE MUSICAL SYMBOL ISON ARCHAION,images/U+1D01A_BYZANTINE_MUSICAL_SYMBOL_ISON_ARCHAION.png
Byzantine Musical Symbols,U+1D01B,𝀛,BYZANTINE MUSICAL SYMBOL KENTIMA ARCHAION,images/U+1D01B_BYZANTINE_MUSICAL_SYMBOL_KENTIMA_ARCHAION.png
Byzantine Musical Symbols,U+1D01C,𝀜,BYZANTINE MUSICAL SYMBOL KENTIMATA ARCHAION,images/U+1D01C_BYZANTINE_MUSICAL_SYMBOL_KENTIMATA_ARCHAION.png
Byzantine Musical Symbols,U+1D01D,𝀝,BYZANTINE MUSICAL SYMBOL SAXIMATA,images/U+1D01D_BYZANTINE_MUSICAL_SYMBOL_SAXIMATA.png
Byzantine Musical Symbols,U+1D01E,𝀞,BYZANTINE MUSICAL SYMBOL PARICHON,images/U+1D01E_BYZANTINE_MUSICAL_SYMBOL_PARICHON.png
Byzantine Musical Symbols,U+1D01F,𝀟,BYZANTINE MUSICAL SYMBOL STAVROS APODEXIA,images/U+1D01F_BYZANTINE_MUSICAL_SYMBOL_STAVROS_APODEXIA.png
Byzantine Musical Symbols,U+1D020,𝀠,BYZANTINE MUSICAL SYMBOL OXEIAI ARCHAION,images/U+1D020_BYZANTINE_MUSICAL_SYMBOL_OXEIAI_ARCHAION.png
Byzantine Musical Symbols,U+1D021,𝀡,BYZANTINE MUSICAL SYMBOL VAREIAI ARCHAION,images/U+1D021_BYZANTINE_MUSICAL_SYMBOL_VAREIAI_ARCHAION.png
Byzantine Musical Symbols,U+1D022,𝀢,BYZANTINE MUSICAL SYMBOL APODERMA ARCHAION,images/U+1D022_BYZANTINE_MUSICAL_SYMBOL_APODERMA_ARCHAION.png
Byzantine Musical Symbols,U+1D023,𝀣,BYZANTINE MUSICAL SYMBOL APOTHEMA,images/U+1D023_BYZANTINE_MUSICAL_SYMBOL_APOTHEMA.png
Byzantine Musical Symbols,U+1D024,𝀤,BYZANTINE MUSICAL SYMBOL KLASMA,images/U+1D024_BYZANTINE_MUSICAL_SYMBOL_KLASMA.png
Byzantine Musical Symbols,U+1D025,𝀥,BYZANTINE MUSICAL SYMBOL REVMA,images/U+1D025_BYZANTINE_MUSICAL_SYMBOL_REVMA.png
Byzantine Musical Symbols,U+1D026,𝀦,BYZANTINE MUSICAL SYMBOL PIASMA ARCHAION,images/U+1D026_BYZANTINE_MUSICAL_SYMBOL_PIASMA_ARCHAION.png
Byzantine Musical Symbols,U+1D027,𝀧,BYZANTINE MUSICAL SYMBOL TINAGMA,images/U+1D027_BYZANTINE_MUSICAL_SYMBOL_TINAGMA.png
Byzantine Musical Symbols,U+1D028,𝀨,BYZANTINE MUSICAL SYMBOL ANATRICHISMA,images/U+1D028_BYZANTINE_MUSICAL_SYMBOL_ANATRICHISMA.png
Byzantine Musical Symbols,U+1D029,𝀩,BYZANTINE MUSICAL SYMBOL SEISMA,images/U+1D029_BYZANTINE_MUSICAL_SYMBOL_SEISMA.png
Byzantine Musical Symbols,U+1D02A,𝀪,BYZANTINE MUSICAL SYMBOL SYNAGMA ARCHAION,images/U+1D02A_BYZANTINE_MUSICAL_SYMBOL_SYNAGMA_ARCHAION.png
Byzantine Musical Symbols,U+1D02B,𝀫,BYZANTINE MUSICAL SYMBOL SYNAGMA META STAVROU,images/U+1D02B_BYZANTINE_MUSICAL_SYMBOL_SYNAGMA_META_STAVROU.png
Byzantine Musical Symbols,U+1D02C,𝀬,BYZANTINE MUSICAL SYMBOL OYRANISMA ARCHAION,images/U+1D02C_BYZANTINE_MUSICAL_SYMBOL_OYRANISMA_ARCHAION.png
Byzantine Musical Symbols,U+1D02D,𝀭,BYZANTINE MUSICAL SYMBOL THEMA,images/U+1D02D_BYZANTINE_MUSICAL_SYMBOL_THEMA.png
Byzantine Musical Symbols,U+1D02E,𝀮,BYZANTINE MUSICAL SYMBOL LEMOI,images/U+1D02E_BYZANTINE_MUSICAL_SYMBOL_LEMOI.png
Byzantine Musical Symbols,U+1D02F,𝀯,BYZANTINE MUSICAL SYMBOL DYO,images/U+1D02F_BYZANTINE_MUSICAL_SYMBOL_DYO.png
Byzantine Musical Symbols,U+1D030,𝀰,BYZANTINE MUSICAL SYMBOL TRIA,images/U+1D030_BYZANTINE_MUSICAL_SYMBOL_TRIA.png
Byzantine Musical Symbols,U+1D031,𝀱,BYZANTINE MUSICAL SYMBOL TESSERA,images/U+1D031_BYZANTINE_MUSICAL_SYMBOL_TESSERA.png
Byzantine Musical Symbols,U+1D032,𝀲,BYZANTINE MUSICAL SYMBOL KRATIMATA,images/U+1D032_BYZANTINE_MUSICAL_SYMBOL_KRATIMATA.png
Byzantine Musical Symbols,U+1D033,𝀳,BYZANTINE MUSICAL SYMBOL APESO EXO NEO,images/U+1D033_BYZANTINE_MUSICAL_SYMBOL_APESO_EXO_NEO.png
Byzantine Musical Symbols,U+1D034,𝀴,BYZANTINE MUSICAL SYMBOL FTHORA ARCHAION,images/U+1D034_BYZANTINE_MUSICAL_SYMBOL_FTHORA_ARCHAION.png
Byzantine Musical Symbols,U+1D035,𝀵,BYZANTINE MUSICAL SYMBOL IMIFTHORA,images/U+1D035_BYZANTINE_MUSICAL_SYMBOL_IMIFTHORA.png
Byzantine Musical Symbols,U+1D036,𝀶,BYZANTINE MUSICAL SYMBOL TROMIKON ARCHAION,images/U+1D036_BYZANTINE_MUSICAL_SYMBOL_TROMIKON_ARCHAION.png
Byzantine Musical Symbols,U+1D037,𝀷,BYZANTINE MUSICAL SYMBOL KATAVA TROMIKON,images/U+1D037_BYZANTINE_MUSICAL_SYMBOL_KATAVA_TROMIKON.png
Byzantine Musical Symbols,U+1D038,𝀸,BYZANTINE MUSICAL SYMBOL PELASTON,images/U+1D038_BYZANTINE_MUSICAL_SYMBOL_PELASTON.png
Byzantine Musical Symbols,U+1D039,𝀹,BYZANTINE MUSICAL SYMBOL PSIFISTON,images/U+1D039_BYZANTINE_MUSICAL_SYMBOL_PSIFISTON.png
Byzantine Musical Symbols,U+1D03A,𝀺,BYZANTINE MUSICAL SYMBOL KONTEVMA,images/U+1D03A_BYZANTINE_MUSICAL_SYMBOL_KONTEVMA.png
Byzantine Musical Symbols,U+1D03B,𝀻,BYZANTINE MUSICAL SYMBOL CHOREVMA ARCHAION,images/U+1D03B_BYZANTINE_MUSICAL_SYMBOL_CHOREVMA_ARCHAION.png
Byzantine Musical Symbols,U+1D03C,𝀼,BYZANTINE MUSICAL SYMBOL RAPISMA,images/U+1D03C_BYZANTINE_MUSICAL_SYMBOL_RAPISMA.png
Byzantine Musical Symbols,U+1D03D,𝀽,BYZANTINE MUSICAL SYMBOL PARAKALESMA ARCHAION,images/U+1D03D_BYZANTINE_MUSICAL_SYMBOL_PARAKALESMA_ARCHAION.png
Byzantine Musical Symbols,U+1D03E,𝀾,BYZANTINE MUSICAL SYMBOL PARAKLITIKI ARCHAION,images/U+1D03E_BYZANTINE_MUSICAL_SYMBOL_PARAKLITIKI_ARCHAION.png
Byzantine Musical Symbols,U+1D03F,𝀿,BYZANTINE MUSICAL SYMBOL ICHADIN,images/U+1D03F_BYZANTINE_MUSICAL_SYMBOL_ICHADIN.png
Byzantine Musical Symbols,U+1D040,𝁀,BYZANTINE MUSICAL SYMBOL NANA,images/U+1D040_BYZANTINE_MUSICAL_SYMBOL_NANA.png
Byzantine Musical Symbols,U+1D041,𝁁,BYZANTINE MUSICAL SYMBOL PETASMA,images/U+1D041_BYZANTINE_MUSICAL_SYMBOL_PETASMA.png
Byzantine Musical Symbols,U+1D042,𝁂,BYZANTINE MUSICAL SYMBOL KONTEVMA ALLO,images/U+1D042_BYZANTINE_MUSICAL_SYMBOL_KONTEVMA_ALLO.png
Byzantine Musical Symbols,U+1D043,𝁃,BYZANTINE MUSICAL SYMBOL TROMIKON ALLO,images/U+1D043_BYZANTINE_MUSICAL_SYMBOL_TROMIKON_ALLO.png
Byzantine Musical Symbols,U+1D044,𝁄,BYZANTINE MUSICAL SYMBOL STRAGGISMATA,images/U+1D044_BYZANTINE_MUSICAL_SYMBOL_STRAGGISMATA.png
Byzantine Musical Symbols,U+1D045,𝁅,BYZANTINE MUSICAL SYMBOL GRONTHISMATA,images/U+1D045_BYZANTINE_MUSICAL_SYMBOL_GRONTHISMATA.png
Byzantine Musical Symbols,U+1D046,𝁆,BYZANTINE MUSICAL SYMBOL ISON NEO,images/U+1D046_BYZANTINE_MUSICAL_SYMBOL_ISON_NEO.png
Byzantine Musical Symbols,U+1D047,𝁇,BYZANTINE MUSICAL SYMBOL OLIGON NEO,images/U+1D047_BYZANTINE_MUSICAL_SYMBOL_OLIGON_NEO.png
Byzantine Musical Symbols,U+1D048,𝁈,BYZANTINE MUSICAL SYMBOL OXEIA NEO,images/U+1D048_BYZANTINE_MUSICAL_SYMBOL_OXEIA_NEO.png
Byzantine Musical Symbols,U+1D049,𝁉,BYZANTINE MUSICAL SYMBOL PETASTI,images/U+1D049_BYZANTINE_MUSICAL_SYMBOL_PETASTI.png
Byzantine Musical Symbols,U+1D04A,𝁊,BYZANTINE MUSICAL SYMBOL KOUFISMA,images/U+1D04A_BYZANTINE_MUSICAL_SYMBOL_KOUFISMA.png
Byzantine Musical Symbols,U+1D04B,𝁋,BYZANTINE MUSICAL SYMBOL PETASTOKOUFISMA,images/U+1D04B_BYZANTINE_MUSICAL_SYMBOL_PETASTOKOUFISMA.png
Byzantine Musical Symbols,U+1D04C,𝁌,BYZANTINE MUSICAL SYMBOL KRATIMOKOUFISMA,images/U+1D04C_BYZANTINE_MUSICAL_SYMBOL_KRATIMOKOUFISMA.png
Byzantine Musical Symbols,U+1D04D,𝁍,BYZANTINE MUSICAL SYMBOL PELASTON NEO,images/U+1D04D_BYZANTINE_MUSICAL_SYMBOL_PELASTON_NEO.png
Byzantine Musical Symbols,U+1D04E,𝁎,BYZANTINE MUSICAL SYMBOL KENTIMATA NEO ANO,images/U+1D04E_BYZANTINE_MUSICAL_SYMBOL_KENTIMATA_NEO_ANO.png
Byzantine Musical Symbols,U+1D04F,𝁏,BYZANTINE MUSICAL SYMBOL KENTIMA NEO ANO,images/U+1D04F_BYZANTINE_MUSICAL_SYMBOL_KENTIMA_NEO_ANO.png
Byzantine Musical Symbols,U+1D050,𝁐,BYZANTINE MUSICAL SYMBOL YPSILI,images/U+1D050_BYZANTINE_MUSICAL_SYMBOL_YPSILI.png
Byzantine Musical Symbols,U+1D051,𝁑,BYZANTINE MUSICAL SYMBOL APOSTROFOS NEO,images/U+1D051_BYZANTINE_MUSICAL_SYMBOL_APOSTROFOS_NEO.png
Byzantine Musical Symbols,U+1D052,𝁒,BYZANTINE MUSICAL SYMBOL APOSTROFOI SYNDESMOS NEO,images/U+1D052_BYZANTINE_MUSICAL_SYMBOL_APOSTROFOI_SYNDESMOS_NEO.png
Byzantine Musical Symbols,U+1D053,𝁓,BYZANTINE MUSICAL SYMBOL YPORROI,images/U+1D053_BYZANTINE_MUSICAL_SYMBOL_YPORROI.png
Byzantine Musical Symbols,U+1D054,𝁔,BYZANTINE MUSICAL SYMBOL KRATIMOYPORROON,images/U+1D054_BYZANTINE_MUSICAL_SYMBOL_KRATIMOYPORROON.png
Byzantine Musical Symbols,U+1D055,𝁕,BYZANTINE MUSICAL SYMBOL ELAFRON,images/U+1D055_BYZANTINE_MUSICAL_SYMBOL_ELAFRON.png
Byzantine Musical Symbols,U+1D056,𝁖,BYZANTINE MUSICAL SYMBOL CHAMILI,images/U+1D056_BYZANTINE_MUSICAL_SYMBOL_CHAMILI.png
Byzantine Musical Symbols,U+1D057,𝁗,BYZANTINE MUSICAL SYMBOL MIKRON ISON,images/U+1D057_BYZANTINE_MUSICAL_SYMBOL_MIKRON_ISON.png
Byzantine Musical Symbols,U+1D058,𝁘,BYZANTINE MUSICAL SYMBOL VAREIA NEO,images/U+1D058_BYZANTINE_MUSICAL_SYMBOL_VAREIA_NEO.png
Byzantine Musical Symbols,U+1D059,𝁙,BYZANTINE MUSICAL SYMBOL PIASMA NEO,images/U+1D059_BYZANTINE_MUSICAL_SYMBOL_PIASMA_NEO.png
Byzantine Musical Symbols,U+1D05A,𝁚,BYZANTINE MUSICAL SYMBOL PSIFISTON NEO,images/U+1D05A_BYZANTINE_MUSICAL_SYMBOL_PSIFISTON_NEO.png
Byzantine Musical Symbols,U+1D05B,𝁛,BYZANTINE MUSICAL SYMBOL OMALON,images/U+1D05B_BYZANTINE_MUSICAL_SYMBOL_OMALON.png
Byzantine Musical Symbols,U+1D05C,𝁜,BYZANTINE MUSICAL SYMBOL ANTIKENOMA,images/U+1D05C_BYZANTINE_MUSICAL_SYMBOL_ANTIKENOMA.png
Byzantine Musical Symbols,U+1D05D,𝁝,BYZANTINE MUSICAL SYMBOL LYGISMA,images/U+1D05D_BYZANTINE_MUSICAL_SYMBOL_LYGISMA.png
Byzantine Musical Symbols,U+1D05E,𝁞,BYZANTINE MUSICAL SYMBOL PARAKLITIKI NEO,images/U+1D05E_BYZANTINE_MUSICAL_SYMBOL_PARAKLITIKI_NEO.png
Byzantine Musical Symbols,U+1D05F,𝁟,BYZANTINE MUSICAL SYMBOL PARAKALESMA NEO,images/U+1D05F_BYZANTINE_MUSICAL_SYMBOL_PARAKALESMA_NEO.png
Byzantine Musical Symbols,U+1D060,𝁠,BYZANTINE MUSICAL SYMBOL ETERON PARAKALESMA,images/U+1D060_BYZANTINE_MUSICAL_SYMBOL_ETERON_PARAKALESMA.png
Byzantine Musical Symbols,U+1D061,𝁡,BYZANTINE MUSICAL SYMBOL KYLISMA,images/U+1D061_BYZANTINE_MUSICAL_SYMBOL_KYLISMA.png
Byzantine Musical Symbols,U+1D062,𝁢,BYZANTINE MUSICAL SYMBOL ANTIKENOKYLISMA,images/U+1D062_BYZANTINE_MUSICAL_SYMBOL_ANTIKENOKYLISMA.png
Byzantine Musical Symbols,U+1D063,𝁣,BYZANTINE MUSICAL SYMBOL TROMIKON NEO,images/U+1D063_BYZANTINE_MUSICAL_SYMBOL_TROMIKON_NEO.png
Byzantine Musical Symbols,U+1D064,𝁤,BYZANTINE MUSICAL SYMBOL EKSTREPTON,images/U+1D064_BYZANTINE_MUSICAL_SYMBOL_EKSTREPTON.png
Byzantine Musical Symbols,U+1D065,𝁥,BYZANTINE MUSICAL SYMBOL SYNAGMA NEO,images/U+1D065_BYZANTINE_MUSICAL_SYMBOL_SYNAGMA_NEO.png
Byzantine Musical Symbols,U+1D066,𝁦,BYZANTINE MUSICAL SYMBOL SYRMA,images/U+1D066_BYZANTINE_MUSICAL_SYMBOL_SYRMA.png
Byzantine Musical Symbols,U+1D067,𝁧,BYZANTINE MUSICAL SYMBOL CHOREVMA NEO,images/U+1D067_BYZANTINE_MUSICAL_SYMBOL_CHOREVMA_NEO.png
Byzantine Musical Symbols,U+1D068,𝁨,BYZANTINE MUSICAL SYMBOL EPEGERMA,images/U+1D068_BYZANTINE_MUSICAL_SYMBOL_EPEGERMA.png
Byzantine Musical Symbols,U+1D069,𝁩,BYZANTINE MUSICAL SYMBOL SEISMA NEO,images/U+1D069_BYZANTINE_MUSICAL_SYMBOL_SEISMA_NEO.png
Byzantine Musical Symbols,U+1D06A,𝁪,BYZANTINE MUSICAL SYMBOL XIRON KLASMA,images/U+1D06A_BYZANTINE_MUSICAL_SYMBOL_XIRON_KLASMA.png
Byzantine Musical Symbols,U+1D06B,𝁫,BYZANTINE MUSICAL SYMBOL TROMIKOPSIFISTON,images/U+1D06B_BYZANTINE_MUSICAL_SYMBOL_TROMIKOPSIFISTON.png
Byzantine Musical Symbols,U+1D06C,𝁬,BYZANTINE MUSICAL SYMBOL PSIFISTOLYGISMA,images/U+1D06C_BYZANTINE_MUSICAL_SYMBOL_PSIFISTOLYGISMA.png
Byzantine Musical Symbols,U+1D06D,𝁭,BYZANTINE MUSICAL SYMBOL TROMIKOLYGISMA,images/U+1D06D_BYZANTINE_MUSICAL_SYMBOL_TROMIKOLYGISMA.png
Byzantine Musical Symbols,U+1D06E,𝁮,BYZANTINE MUSICAL SYMBOL TROMIKOPARAKALESMA,images/U+1D06E_BYZANTINE_MUSICAL_SYMBOL_TROMIKOPARAKALESMA.png
Byzantine Musical Symbols,U+1D06F,𝁯,BYZANTINE MUSICAL SYMBOL PSIFISTOPARAKALESMA,images/U+1D06F_BYZANTINE_MUSICAL_SYMBOL_PSIFISTOPARAKALESMA.png
Byzantine Musical Symbols,U+1D070,𝁰,BYZANTINE MUSICAL SYMBOL TROMIKOSYNAGMA,images/U+1D070_BYZANTINE_MUSICAL_SYMBOL_TROMIKOSYNAGMA.png
Byzantine Musical Symbols,U+1D071,𝁱,BYZANTINE MUSICAL SYMBOL PSIFISTOSYNAGMA,images/U+1D071_BYZANTINE_MUSICAL_SYMBOL_PSIFISTOSYNAGMA.png
Byzantine Musical Symbols,U+1D072,𝁲,BYZANTINE MUSICAL SYMBOL GORGOSYNTHETON,images/U+1D072_BYZANTINE_MUSICAL_SYMBOL_GORGOSYNTHETON.png
Byzantine Musical Symbols,U+1D073,𝁳,BYZANTINE MUSICAL SYMBOL ARGOSYNTHETON,images/U+1D073_BYZANTINE_MUSICAL_SYMBOL_ARGOSYNTHETON.png
Byzantine Musical Symbols,U+1D074,𝁴,BYZANTINE MUSICAL SYMBOL ETERON ARGOSYNTHETON,images/U+1D074_BYZANTINE_MUSICAL_SYMBOL_ETERON_ARGOSYNTHETON.png
Byzantine Musical Symbols,U+1D075,𝁵,BYZANTINE MUSICAL SYMBOL OYRANISMA NEO,images/U+1D075_BYZANTINE_MUSICAL_SYMBOL_OYRANISMA_NEO.png
Byzantine Musical Symbols,U+1D076,𝁶,BYZANTINE MUSICAL SYMBOL THEMATISMOS ESO,images/U+1D076_BYZANTINE_MUSICAL_SYMBOL_THEMATISMOS_ESO.png
Byzantine Musical Symbols,U+1D077,𝁷,BYZANTINE MUSICAL SYMBOL THEMATISMOS EXO,images/U+1D077_BYZANTINE_MUSICAL_SYMBOL_THEMATISMOS_EXO.png
Byzantine Musical Symbols,U+1D078,𝁸,BYZANTINE MUSICAL SYMBOL THEMA APLOUN,images/U+1D078_BYZANTINE_MUSICAL_SYMBOL_THEMA_APLOUN.png
Byzantine Musical Symbols,U+1D079,𝁹,BYZANTINE MUSICAL SYMBOL THES KAI APOTHES,images/U+1D079_BYZANTINE_MUSICAL_SYMBOL_THES_KAI_APOTHES.png
Byzantine Musical Symbols,U+1D07A,𝁺,BYZANTINE MUSICAL SYMBOL KATAVASMA,images/U+1D07A_BYZANTINE_MUSICAL_SYMBOL_KATAVASMA.png
Byzantine Musical Symbols,U+1D07B,𝁻,BYZANTINE MUSICAL SYMBOL ENDOFONON,images/U+1D07B_BYZANTINE_MUSICAL_SYMBOL_ENDOFONON.png
Byzantine Musical Symbols,U+1D07C,𝁼,BYZANTINE MUSICAL SYMBOL YFEN KATO,images/U+1D07C_BYZANTINE_MUSICAL_SYMBOL_YFEN_KATO.png
Byzantine Musical Symbols,U+1D07D,𝁽,BYZANTINE MUSICAL SYMBOL YFEN ANO,images/U+1D07D_BYZANTINE_MUSICAL_SYMBOL_YFEN_ANO.png
